Application ID,Organisation,Emissions impact,Delivery feasibility,Eligibility statement,Outcome
NZ-2024-017,Team Q17 Ltd,We aim to be net zero and think we can cut emissions significantly over time.,The team is confident it can deliver but has no concrete plan yet.,We are a for-profit company founded in 2019 and are registered in the UK.,Not shortlisted
NZ-2024-018,Team R18 Ltd,"We will avoid 12,000 tonnes of CO2e per year, independently verified by the Carbon Trust.",The pilot has 9 signed partners and a funded 12-month rollout starting in September.,We are a for-profit company founded in 2024 and are registered in the UK.,Not shortlisted
NZ-2024-019,Team S19 Ltd,We aim to be net zero and think we can cut emissions significantly over time.,We plan to figure out delivery once we receive funding.,We are a for-profit company founded in 2021 and are registered in the UK.,Not shortlisted
NZ-2024-020,Team T20 Ltd,We aim to be net zero and think we can cut emissions significantly over time.,We plan to figure out delivery once we receive funding.,We are a for-profit company founded in 2021 and are registered in the UK.,Not shortlisted
NZ-2024-021,Team U21 Ltd,"Deploying our heat-recovery system saves 38,500 MWh annually, third-party certified.",We have a live deployment at 8 sites and a detailed month-by-month delivery plan.,We are a for-profit company founded in 2018 and are registered in the UK.,Shortlisted
NZ-2024-022,Team V22 Ltd,Our technology is world-leading and will make a huge climate impact.,We plan to figure out delivery once we receive funding.,We are a for-profit company founded in 2021 and are registered in the UK.,Not shortlisted
NZ-2024-023,Team W23 Ltd,We believe our solution will help the planet and reduce a lot of emissions.,We plan to figure out delivery once we receive funding.,We are a for-profit company founded in 2022 and are registered in the UK.,Not shortlisted
NZ-2024-024,Team X24 Ltd,"We will avoid 26,000 tonnes of CO2e per year, independently verified by DNV.",The pilot has 5 signed partners and a funded 12-month rollout starting in September.,We are a for-profit company founded in 2022 and are registered in the UK.,Not shortlisted
NZ-2024-025,Team Y25 Ltd,Our technology is world-leading and will make a huge climate impact.,The team is confident it can deliver but has no concrete plan yet.,We are a for-profit company founded in 2021 and are registered in the UK.,Not shortlisted
NZ-2024-026,Team Z26 Ltd,We believe our solution will help the planet and reduce a lot of emissions.,The team is confident it can deliver but has no concrete plan yet.,We are a for-profit company founded in 2020 and are registered in the UK.,Not shortlisted
NZ-2024-027,Team A27 Ltd,"We will avoid 24,000 tonnes of CO2e per year, independently verified by an ISO 14064 auditor.",We have a live deployment at 4 sites and a detailed month-by-month delivery plan.,We are a for-profit company founded in 2022 and are registered in the UK.,Not shortlisted
NZ-2024-028,Team B28 Ltd,We believe our solution will help the planet and reduce a lot of emissions.,We plan to figure out delivery once we receive funding.,We are a for-profit company founded in 2024 and are registered in the UK.,Not shortlisted
NZ-2024-029,Team C29 Ltd,We aim to be net zero and think we can cut emissions significantly over time.,We hope to find partners and customers in the near future.,We are a for-profit company founded in 2022 and are registered in the UK.,Not shortlisted
NZ-2024-030,Team D30 Ltd,Our technology is world-leading and will make a huge climate impact.,We hope to find partners and customers in the near future.,We are a for-profit company founded in 2023 and are registered in the UK.,Not shortlisted
NZ-2024-031,Team E31 Ltd,We believe our solution will help the planet and reduce a lot of emissions.,We hope to find partners and customers in the near future.,We are a for-profit company founded in 2019 and are registered in the UK.,Not shortlisted
NZ-2024-032,Team F32 Ltd,We aim to be net zero and think we can cut emissions significantly over time.,We plan to figure out delivery once we receive funding.,We are a for-profit company founded in 2021 and are registered in the UK.,Not shortlisted
